ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, text
1918188062,Danny__fcb,4222,6336,,0,1946,54,RT @IrisRimon: Donald Trump once spent his days grabbing random women by the pussy. Last year you elected him president. https://t.co/x2zN0…
2163009374,EVOKE,15919,0,,0,118,186,"Find out why Ivanka Trump is being roasted online, the latest gossip, style and more on EVOKE.ie… https://t.co/Pih9GUBVHP"
15995320,cbarbanel,136,25,,0,176,3,"RT @SafetyPinDaily: Trump’s Phoenix campaign rally cost $450,000: that's just the latest taxpayer expense of his presidency |@newsweek
http…"
794279156552863744,logic_avenger,943,1,,0,1402,22,"RT @cindyrelish: It's sad to know that Coulter is not kidding. She is so hideously racist, I believe that she is dead serious. https://t.co…"
790105210479837184,Fasstloaded_com,162,0,,0,74,2,Sound of a Barking Dog: North Korea Mocks President Trump’s Speech at the UNGA https://t.co/8J77jmEzTg https://t.co/witCUzleVk
516668595,Illiberalality,4766,0,,0,4562,77,#NOStrange Report: Trump Reluctant to Campaign in Alabama — But Swamp Fears Domino Effect if Luther Strange Defeated https://t.co/XfqOgYKJYw
48851477,_is_ur,543,3596,,0,2615,6,RT @ajplus: Watch how Iran's president addresses the United Nations. Then watch President Trump. https://t.co/ZrVbeyT00F
335416672,sjfpc,16127,0,,0,10841,272,Trump is right. The corporate rate should be 15%. But it's not that simple - https://t.co/D0YTABvID5
15828458,ponyexpress_gsc,2644,199,,0,3415,60,"RT @USNJack: If you don’t see that the @FBI created the Russian Dossier as ""evidence"" for FISA warrants to spy on Team Trump, you are too d…"
823337401061937152,SPEAKUPJULIA,2228,508,,0,902,10,"RT @SaysHummingbird: I can't wait to see Donald Trump's arrogant face in prison. Who's with me? 😊

#MuellerTime"
88348765,the_klute,1209,0,,0,1776,67,Reason why @kilmeade didn't address #JimmyKimmel on @foxandfriends this morning? B/c Trump would have seen it. Kilmeade's a fuckin' coward.
894385591982444544,loudclearradio,56,0,,0,16,0,".Greg Mello and @AMercouris, join us to discuss Trump's UN speech, threats toward Iran and the nuclear deal's futur… https://t.co/ZWEWnODOmo"
774672882,phendricks71,3144,1028,,0,4743,246,"RT @TeaPainUSA: Even though Paul ""the Moscow Mule"" Manafort helped Trump get elected, the bigger concern is that he handpicked Pence as the…"
818890898352340992,_MsRomain4,113,5945,,0,109,1,"RT @theGrio: This Trump supporting student tried to get an undocumented classmate deported, but instead he got himself expelled: https://t.…"
56516570,pehenne,1101,0,,0,568,66,Trump seems to be taking UAE/Saudi side in #Qatarcrisis   https://t.co/1Ws5DhrEV2 backing claim that this is needed to counter Iran
26133050,NotYourName,1127,0,,0,620,43,*Kanye voice* Donald Trump does not care about Puerto Rican's.
156519038,Dani_C_R,34,33,,0,176,0,"RT @HahnAmerica: The Trump ""Uncertainty Principle"" - https://t.co/Osxej4Aee5 - By @KueblerSusan via @EatPrayVote"
1026742951,WTOM5150,439,465,,0,558,8,"RT @StockMonsterUSA: Where the Hell is our Attorney General on all this ??? On Hillary ?? On Comey, Mueller, Rosenstein Collusion on Trump!…"
799036475065139200,aleppo_breaking,120,0,,0,97,1,If you are a liberal looking for something to bitch about Trump.
1049560369,cheezwitham,4865,1,,0,3945,511,RT @leeleslan: The republicans are pushing the panic button on the health care bill.  They want to take extra money for tax cuts for the ri…
9694042,NAFSA,27781,0,,0,7386,772,Immigration is vital to both rural and urban economic growth in US. https://t.co/k0Apzo0Ff3 @WelcomingUSA #WelcomingWeek #YouAreWelcomeHere
4306530132,DerekPells,122,654,,0,78,7,RT @KrangTNelson: Your Refusal to Date Socially Inept KKK Sympathizers Whom Love Wizard Culture is Why Trump Won by James Damore
2418815453,LibProgressDems,353,0,,0,808,8,"Under Trump, most Americans lack the basic knowledge to understand current events, study finds https://t.co/0q8RuCdJ67"
86796377,JeffLee2020,2550,0,,0,150,372,Trump To Impose More Sanctions On North Korea Today | Zero Hedge https://t.co/7uMUa6xcMs
262069441,Mattsplat72,82,0,TRUMP_NAMVET,0,216,3,@TRUMP_NAMVET @mosesbread72 Aw did your whittle feelings get hurt? Put out your tiki torch and get a maxipad mary
2524967623,skyclad_dancer,2877,3018,,0,4095,0,"RT @brianklaas: The day after Trump tweeted this in 2016, his campaign chairman e-mailed a billionaire oligarch/Putin ally &amp; offered him a…"
747669864756711424,TiptonTrump16,152,0,,0,961,30,Vote Scott Tipton &amp; #TRUMP to MAKE CO-03 GREAT AGAIN! https://t.co/2oOvYQmnPG
3032888096,don17571,15,0,,0,0,6,The Many Exasperated Faces of White House Chief of Staff John Kelly https://t.co/amsfoghIZC Why'd Trump pick a jerk off who voted 4 Clinton?
4203733813,Beverly86418528,1112,232,,0,438,48,"RT @polishprincessh: Voted for Trump &amp; I will again in 2020. The far left has shown us their true colors Before, During &amp; Especially after…"
3088250780,gorpenyuk_ilya,67,9,,0,6,1,RT @BeltwayPundit: #ELLEN: CAN'T HAVE '#DANGEROUS' #TRUMP ON MY SHOW... https://t.co/xLp2fiY33R
187107028,mr_olmedo,274,6,,0,300,17,RT @TelegraphNews: Where is Nambia? Donald Trump praises healthcare of country which doesn't exist https://t.co/QJzSRDK2P5
873531413684920320,MattJ5000,130,17,,0,114,0,RT @TruthFeedNews: Curt Schilling Sounds Off on Athletes Refusing to Respect National Anthem and Flag https://t.co/0f4Oya85Mq via @truthfee…
1083966913,ArmedMommy,1180,0,,0,362,15,Secret Service On High Alert After Muslim Leader Reveals Their Disturbing Plot For President Trump... https://t.co/0mBehi50Lx
755293008820629504,ElaineDeyoe,2787,18,,0,3362,13,"RT @aliasvaughn: cc @Maddow @MaddowBlog  Deripaska landed 25 miles from Trump NJ golf club, was there Sept 17 and 18. Right as Don Jr ditch…"
22209659,Mina001,2869,561,,0,2433,9,RT @BreitbartNews: They're still trying to claim they were right because there weren't literal bugs in all of Trump Tower's landlines. http…
174048465,nyc118,783,0,,0,597,40,Why is Trump not talking about Russia trading with North Korea? https://t.co/LqBH1YwAn2
2546920704,SexyHealthTips,3916,302,,0,218,1925,RT @DerekCressman: Here's why Jimmy Kimmel (entertainer) is more qualified than Donald Trump (entertainer) to discuss health care https://t…
211314817,pnwretired,364,580,,0,151,11,"RT @Fuctupmind: Samantha Power
Rice
Brennan
Power one request for every working day in 2016 – and sought info in the days leading up to Tru…"
79302229,accelerance,3522,0,,0,3086,301,Trump the #Outsourcing Discussion: Here’s Why U.S. Companies #Outsource #Software #Development https://t.co/6FGTOM45I9
398110728,therussophile,5771,14,,0,2672,203,RT @jackleisen: .@SibelEdmonds Last Off Ramp for Korean Peace Ahead! Will the Deep State Let Trump Take It? @o_rips @NewsBud_ https://t.co/…
18653289,StackBoi,116,25,,0,214,0,RT @BreitbartNews: Surely THIS will stump the Trump! https://t.co/ro32XiimUv
168524035,shondi99,13370,1434,,0,13073,328,RT @sarahkendzior: It's now been over a year since Harry Reid sent his letter to Comey asking to make Trump/Russia election threat public.…
4418147727,mrhman69,349,45,,0,538,31,"RT @2nd_Amend_Right: First Lady Melania Trump
Gracious 
Stunning 
Caring

🇺🇸🇺🇸🇺🇸🇺🇸@FLOTUS 

True Class! Please RT if you agree! https://t.c…"
52230962,PoliticalAnt,16253,0,,0,8460,599,I bet there are Trump supporters who think they're #FakeJews. Sigh. #UNGA https://t.co/klMce77T30
107150361,Fabiolucv,612,0,,0,306,23,Trump vows more sanctions over North Korea's nuclear buildup https://t.co/AbrMa7IaZi https://t.co/nB0EF2XtTO
877326485211693056,doswald3060,116,43,,0,595,0,"RT @OhNoSheTwitnt: The sad thing is this wouldn't feel like a solid burn if Trump weren't a heartless monster. But he is, so it is, and I l…"
28619320,cmputrwiz,2057,0,,1,5001,34,"(So, Trump's ""losers"" win again?) Graham-Cassidy takes funds from some of the neediest and sickest states, writes https://t.co/2zLOy62LjF"
633706337,PamirNews,4723,11,,0,979,42,RT @LNajafizada: Trump &amp; Ghani meeting at UNGA. First meeting of the two since Trump's Afghanistan policy announcement last month. https://…
3617462957,velvetcrystals,240,69500,,0,280,2,RT @lustforgays: melania when trump dies https://t.co/KudjG5AJiK
300991237,hreinamom,273,0,,0,704,10,"Legal expert: Donald Trump and Paul Manafort may both be ""going down"" over wiretap https://t.co/em4QpKmHqR via @PalmerReport"
3865336332,XaviorXelove013,180,655,,0,396,0,RT @Zyphree_: When trump took over after Obama https://t.co/0gdMBlQ1CP
4856364013,Kellydanes1,2100,87,,0,73,194,RT @LVNancy: The Elites &amp; Experts on Foreign policy who criticize #Trump on his speech are the ones that have left the world a mess  #UNGA…
85343892,AOLdotUK,1859,0,,1,727,110,Prince Harry to meet Melania Trump on Canadian @WeAreInvictus Games trip https://t.co/gKVMrKSkgr via @AOLdotUK… https://t.co/UNNrsc1phS
